,spy,spy_lag1,ixic,gbp,eur,jpy,rut,tnx,Price
1,-5.439972000000012,-5.890014000000008,-268.79003900000134,0.003310000000000146,-0.0009439999999998339,-0.5379939999999976,-50.5,-0.041999999999999815,437.329987
2,0.7699890000000096,-5.439972000000012,-311.0400389999995,-0.0023650000000001725,-0.004655000000000076,0.09999799999999937,-19.319946000000073,-0.041999999999999815,431.890015
3,-21.640015000000005,0.7699890000000096,87.3896480000003,0.00034800000000001496,-0.0007680000000001019,-0.37300100000000214,-27.690063999999893,-0.041999999999999815,432.660004
4,18.589995999999985,-21.640015000000005,-923.8701170000004,-0.00044399999999988893,0.0020890000000000075,0.5189969999999988,-38.68994100000009,0.037000000000000144,411.019989
5,2.4200139999999806,18.589995999999985,897.3798829999996,-0.0046200000000000685,-0.0024599999999999067,-0.1859970000000004,53.53991700000006,-0.0990000000000002,429.609985
6,3.0100100000000225,2.4200139999999806,85.57031200000165,-0.017242999999999897,-0.011514000000000024,0.6309970000000078,44.470092999999906,0.1160000000000001,432.029999
7,-2.6700139999999806,3.0100100000000225,145.87011699999857,-0.0002140000000001585,-0.0009760000000000879,0.04099999999999682,6.929931000000124,0.1160000000000001,435.040009
8,8.100006000000008,-2.6700139999999806,-119.16992199999913,0.005276000000000058,0.0033610000000001694,-0.5059959999999961,-38.22998000000007,0.1160000000000001,432.369995
9,-8.720001000000025,8.100006000000008,240.05957099999978,-0.008948999999999874,-0.008364000000000038,-0.26699899999999843,50.139892000000145,-0.18300000000000005,440.470001
10,-0.20001200000001518,-8.720001000000025,-382.359375,0.0063949999999999285,-0.0017439999999999678,0.681999999999988,-27.989868000000115,0.04299999999999993,431.75
11,-11.929992999999968,-0.20001200000001518,-126.87011700000039,-0.004596999999999962,-0.004429000000000016,-0.016998999999998432,-30.130004999999983,0.07000000000000006,431.549988
12,5.520019999999988,-11.929992999999968,-528.3203130000002,-0.01388300000000009,-0.01953500000000008,-0.5430070000000029,-49.44006300000001,-0.052999999999999936,419.619995
