Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,14004.190430,14020.820313,13704.700195,13716.719727,13716.719727,4259890000
2022-02-18,13735.400391,13762.400391,13465.559570,13548.070313,13548.070313,4475010000
2022-02-22,13424.360352,13618.719727,13249.650391,13381.519531,13381.519531,4830920000
2022-02-23,13511.750000,13533.780273,13032.169922,13037.490234,13037.490234,4614090000
2022-02-24,12587.879883,13486.110352,12587.879883,13473.589844,13473.589844,6131410000
2022-02-25,13485.259766,13696.860352,13358.290039,13694.620117,13694.620117,4614110000
2022-02-28,13570.830078,13810.639648,13549.900391,13751.400391,13751.400391,5894130000
2022-03-01,13716.700195,13777.040039,13441.320313,13532.459961,13532.459961,6094490000
2022-03-02,13597.530273,13796.549805,13493.910156,13752.019531,13752.019531,5229480000
2022-03-03,13837.589844,13837.589844,13472.639648,13537.940430,13537.940430,5058590000
2022-03-04,13455.230469,13486.709961,13224.980469,13313.440430,13313.440430,5319630000
2022-03-07,13328.360352,13353.280273,12828.019531,12830.959961,12830.959961,6163580000
2022-03-08,12800.040039,13159.440430,12670.080078,12795.549805,12795.549805,6631820000
2022-03-09,13113.700195,13301.160156,13039.790039,13255.549805,13255.549805,5377120000
2022-03-10,13098.349609,13163.500000,12946.280273,13129.959961,13129.959961,5034030000
2022-03-11,13229.769531,13239.349609,12830.370117,12843.809570,12843.809570,5250230000
2022-03-14,12795.120117,12918.009766,12555.349609,12581.219727,12581.219727,5853360000
2022-03-15,12685.230469,12973.879883,12616.589844,12948.620117,12948.620117,5414590000
2022-03-16,13119.370117,13440.120117,12992.200195,13436.549805,13436.549805,6498110000
2022-03-17,13360.719727,13620.799805,13317.139648,13614.780273,13614.780273,5575030000
2022-03-18,13564.629883,13899.280273,13528.059570,13893.839844,13893.839844,8109950000
2022-03-21,13860.389648,13945.809570,13682.549805,13838.459961,13838.459961,5636000000
2022-03-22,13866.429688,14141.070313,13857.290039,14108.820313,14108.820313,5400360000
